2test_id,algorithm,time,n_size
0,insertion sort,8105674,49997
1,insertion sort,8142431,49997
2,insertion sort,8108928,49997
3,insertion sort,8136430,49997
4,insertion sort,7981269,49997
5,insertion sort,7930280,49997
6,insertion sort,8073328,49997
7,insertion sort,8015985,49997
8,insertion sort,7935007,49997
9,insertion sort,7851198,49997
10,insertion sort,7762258,49997
11,insertion sort,7760352,49997
12,insertion sort,7746919,49997
13,insertion sort,7743814,49997
14,insertion sort,7739875,49997
15,insertion sort,7767908,49997
16,insertion sort,7801387,49997
17,insertion sort,7766906,49997
18,insertion sort,7794886,49997
19,insertion sort,7766892,49997
20,insertion sort,7791725,49997
21,insertion sort,7775280,49997
22,insertion sort,7784594,49997
23,insertion sort,7755183,49997
24,insertion sort,7755442,49997
25,insertion sort,7763617,49997
26,insertion sort,7750683,49997
27,insertion sort,7787338,49997
28,insertion sort,7782394,49997
29,insertion sort,7777584,49997
30,insertion sort,7767719,49997
31,insertion sort,7774600,49997
32,insertion sort,7797885,49997
33,insertion sort,7757077,49997
34,insertion sort,7768788,49997
35,insertion sort,7741068,49997
36,insertion sort,7754010,49997
37,insertion sort,7761003,49997
38,insertion sort,7744640,49997
39,insertion sort,7771804,49997
40,insertion sort,7782152,49997
41,insertion sort,7762750,49997
42,insertion sort,7774027,49997
43,insertion sort,7768483,49997
44,insertion sort,7785057,49997
45,insertion sort,7759876,49997
46,insertion sort,7766042,49997
47,insertion sort,7739841,49997
48,insertion sort,7746323,49997
49,insertion sort,7738833,49997
50,insertion sort,7719111,49997
51,insertion sort,7773172,49997
52,insertion sort,7766056,49997
53,insertion sort,7765702,49997
54,insertion sort,7762638,49997
55,insertion sort,7784698,49997
56,insertion sort,7785098,49997
57,insertion sort,7774438,49997
58,insertion sort,7787857,49997
59,insertion sort,7767791,49997
60,insertion sort,7761477,49997
61,insertion sort,7749419,49997
62,insertion sort,7758304,49997
63,insertion sort,7756371,49997
64,insertion sort,7724395,49997
65,insertion sort,7736239,49997
66,insertion sort,7738678,49997
67,insertion sort,7768176,49997
68,insertion sort,7772279,49997
69,insertion sort,7768743,49997
70,insertion sort,7767151,49997
71,insertion sort,7838593,49997
72,insertion sort,7738672,49997
73,insertion sort,7748483,49997
74,insertion sort,7793856,49997
75,insertion sort,7811803,49997
76,insertion sort,7835971,49997
77,insertion sort,7809654,49997
78,insertion sort,7772234,49997
79,insertion sort,7737004,49997
80,insertion sort,7758475,49997
81,insertion sort,7779361,49997
82,insertion sort,7795439,49997
83,insertion sort,7757368,49997
84,insertion sort,7757943,49997
85,insertion sort,7764063,49997
86,insertion sort,7777207,49997
87,insertion sort,7770385,49997
88,insertion sort,7787342,49997
89,insertion sort,7802845,49997
90,insertion sort,7737517,49997
91,insertion sort,7784240,49997
92,insertion sort,7783783,49997
93,insertion sort,7781273,49997
94,insertion sort,7786345,49997
95,insertion sort,7779843,49997
96,insertion sort,7784220,49997
97,insertion sort,7785783,49997
98,insertion sort,7778586,49997
99,insertion sort,7796520,49997
100,insertion sort,7784787,49997
101,insertion sort,7770826,49997
102,insertion sort,7750081,49997
103,insertion sort,7760860,49997
104,insertion sort,7762493,49997
105,insertion sort,7758741,49997
106,insertion sort,7787656,49997
107,insertion sort,7767921,49997
108,insertion sort,7751236,49997
109,insertion sort,7753532,49997
110,insertion sort,7756730,49997
111,insertion sort,7766110,49997
112,insertion sort,7723356,49997
113,insertion sort,8013938,49997
114,insertion sort,7861222,49997
115,insertion sort,7817341,49997
116,insertion sort,7790653,49997
117,insertion sort,7780633,49997
118,insertion sort,7976400,49997
119,insertion sort,7819974,49997
120,insertion sort,7846388,49997
121,insertion sort,7823330,49997
122,insertion sort,7821298,49997
123,insertion sort,7757073,49997
124,insertion sort,7741227,49997
125,insertion sort,7746784,49997
126,insertion sort,7731861,49997
127,insertion sort,7725556,49997
128,insertion sort,7741652,49997
129,insertion sort,7753876,49997
130,insertion sort,7790657,49997
131,insertion sort,7698830,49997
132,insertion sort,7722733,49997
133,insertion sort,7703418,49997
134,insertion sort,7738916,49997
135,insertion sort,7696973,49997
136,insertion sort,7700876,49997
137,insertion sort,7742846,49997
138,insertion sort,7719832,49997
139,insertion sort,7724090,49997
140,insertion sort,7728614,49997
141,insertion sort,7703990,49997
142,insertion sort,7872494,49997
143,insertion sort,7798507,49997
144,insertion sort,7868355,49997
145,insertion sort,7783233,49997
146,insertion sort,7750935,49997
147,insertion sort,7828555,49997
148,insertion sort,7720534,49997
149,insertion sort,7832399,49997
150,insertion sort,7970995,49997
151,insertion sort,8122776,49997
152,insertion sort,7877658,49997
153,insertion sort,7822758,49997
154,insertion sort,7780116,49997
155,insertion sort,7987888,49997
156,insertion sort,8551911,49997
157,insertion sort,8223405,49997
158,insertion sort,8072760,49997
159,insertion sort,7937265,49997
160,insertion sort,7960830,49997
161,insertion sort,8201430,49997
162,insertion sort,8305911,49997
163,insertion sort,8002469,49997
164,insertion sort,8050797,49997
165,insertion sort,7896371,49997
166,insertion sort,8070390,49997
167,insertion sort,8036903,49997
168,insertion sort,7758470,49997
169,insertion sort,7898589,49997
170,insertion sort,8009761,49997
171,insertion sort,7944302,49997
172,insertion sort,7878339,49997
173,insertion sort,7912561,49997
174,insertion sort,8063168,49997
175,insertion sort,7883807,49997
176,insertion sort,8741952,49997
177,insertion sort,8600805,49997
178,insertion sort,8085294,49997
179,insertion sort,7872193,49997
180,insertion sort,7830086,49997
181,insertion sort,7737732,49997
182,insertion sort,7768122,49997
183,insertion sort,7764141,49997
184,insertion sort,7780774,49997
185,insertion sort,7781838,49997
186,insertion sort,7809424,49997
187,insertion sort,7772639,49997
188,insertion sort,7759962,49997
189,insertion sort,7754549,49997
190,insertion sort,7737968,49997
191,insertion sort,7815192,49997
192,insertion sort,7755975,49997
193,insertion sort,7772564,49997
194,insertion sort,7766075,49997
195,insertion sort,7774978,49997
196,insertion sort,7767455,49997
197,insertion sort,7778552,49997
198,insertion sort,7792803,49997
199,insertion sort,7771677,49997
200,insertion sort,7769451,49997
