2test_id,algorithm,time,n_size
0,insertion sort,20481,49997
1,insertion sort,21326,49997
2,insertion sort,20788,49997
3,insertion sort,20861,49997
4,insertion sort,21531,49997
5,insertion sort,20908,49997
6,insertion sort,21050,49997
7,insertion sort,21498,49997
8,insertion sort,20554,49997
9,insertion sort,21052,49997
10,insertion sort,20756,49997
11,insertion sort,21016,49997
12,insertion sort,20825,49997
13,insertion sort,21263,49997
14,insertion sort,21263,49997
15,insertion sort,20478,49997
16,insertion sort,20974,49997
17,insertion sort,20659,49997
18,insertion sort,21241,49997
19,insertion sort,21555,49997
20,insertion sort,20686,49997
21,insertion sort,20624,49997
22,insertion sort,21317,49997
23,insertion sort,21397,49997
24,insertion sort,20766,49997
25,insertion sort,21009,49997
26,insertion sort,21263,49997
27,insertion sort,21222,49997
28,insertion sort,21881,49997
29,insertion sort,20903,49997
30,insertion sort,20867,49997
31,insertion sort,21470,49997
32,insertion sort,22386,49997
33,insertion sort,21148,49997
34,insertion sort,21452,49997
35,insertion sort,21062,49997
36,insertion sort,21093,49997
37,insertion sort,20528,49997
38,insertion sort,21337,49997
39,insertion sort,21098,49997
40,insertion sort,21175,49997
41,insertion sort,21501,49997
42,insertion sort,21722,49997
43,insertion sort,21390,49997
44,insertion sort,20804,49997
45,insertion sort,24193,49997
46,insertion sort,20541,49997
47,insertion sort,20938,49997
48,insertion sort,21528,49997
49,insertion sort,21737,49997
50,insertion sort,21479,49997
51,insertion sort,21897,49997
52,insertion sort,21670,49997
53,insertion sort,20556,49997
54,insertion sort,21156,49997
55,insertion sort,21153,49997
56,insertion sort,21647,49997
57,insertion sort,20916,49997
58,insertion sort,20749,49997
59,insertion sort,21758,49997
60,insertion sort,20525,49997
61,insertion sort,20985,49997
62,insertion sort,21688,49997
63,insertion sort,21581,49997
64,insertion sort,20804,49997
65,insertion sort,20559,49997
66,insertion sort,20893,49997
67,insertion sort,20544,49997
68,insertion sort,20583,49997
69,insertion sort,20947,49997
70,insertion sort,21223,49997
71,insertion sort,21521,49997
72,insertion sort,20839,49997
73,insertion sort,20902,49997
74,insertion sort,20981,49997
75,insertion sort,21433,49997
76,insertion sort,21480,49997
77,insertion sort,20544,49997
78,insertion sort,20607,49997
79,insertion sort,21954,49997
80,insertion sort,22009,49997
