2test_id,algorithm,time,n_size
0,insertion sort,3433228,49997
1,insertion sort,3385410,49997
2,insertion sort,3413177,49997
3,insertion sort,3392781,49997
4,insertion sort,3401696,49997
5,insertion sort,3374990,49997
6,insertion sort,3405522,49997
7,insertion sort,3380373,49997
8,insertion sort,3380163,49997
9,insertion sort,3399282,49997
10,insertion sort,3420198,49997
11,insertion sort,3394048,49997
12,insertion sort,3393679,49997
13,insertion sort,3391062,49997
14,insertion sort,3391986,49997
15,insertion sort,3410381,49997
16,insertion sort,3408503,49997
17,insertion sort,3391204,49997
18,insertion sort,3399014,49997
19,insertion sort,3383847,49997
20,insertion sort,3369879,49997
21,insertion sort,3388947,49997
22,insertion sort,3387332,49997
23,insertion sort,3369941,49997
24,insertion sort,3373713,49997
25,insertion sort,3403660,49997
26,insertion sort,3388362,49997
27,insertion sort,3370640,49997
28,insertion sort,3434513,49997
29,insertion sort,3375704,49997
30,insertion sort,3399620,49997
31,insertion sort,3392415,49997
32,insertion sort,3398417,49997
33,insertion sort,3396573,49997
34,insertion sort,3390091,49997
35,insertion sort,3381121,49997
36,insertion sort,3368609,49997
37,insertion sort,3382626,49997
38,insertion sort,3397073,49997
39,insertion sort,3413359,49997
40,insertion sort,3362019,49997
41,insertion sort,3434825,49997
42,insertion sort,3444751,49997
43,insertion sort,3399292,49997
44,insertion sort,3392390,49997
45,insertion sort,3445735,49997
46,insertion sort,3433439,49997
47,insertion sort,3413114,49997
48,insertion sort,3413728,49997
49,insertion sort,3420873,49997
50,insertion sort,3409383,49997
51,insertion sort,3415374,49997
52,insertion sort,3423941,49997
53,insertion sort,3357712,49997
54,insertion sort,3419058,49997
55,insertion sort,3336920,49997
56,insertion sort,3352660,49997
57,insertion sort,3411481,49997
58,insertion sort,3363421,49997
59,insertion sort,3406722,49997
60,insertion sort,3351715,49997
61,insertion sort,3384089,49997
62,insertion sort,3353067,49997
63,insertion sort,3368435,49997
64,insertion sort,3339038,49997
65,insertion sort,3337922,49997
66,insertion sort,3383945,49997
67,insertion sort,3353183,49997
68,insertion sort,3388106,49997
69,insertion sort,3368632,49997
70,insertion sort,3350488,49997
71,insertion sort,3369710,49997
72,insertion sort,3378756,49997
