2test_id,algorithm,time,n_size
0,insertion sort,219953,49997
1,insertion sort,219774,49997
2,insertion sort,226819,49997
3,insertion sort,230015,49997
4,insertion sort,233220,49997
5,insertion sort,228916,49997
6,insertion sort,225009,49997
7,insertion sort,225080,49997
8,insertion sort,218441,49997
9,insertion sort,216987,49997
10,insertion sort,215625,49997
11,insertion sort,220977,49997
12,insertion sort,222884,49997
13,insertion sort,229646,49997
14,insertion sort,217201,49997
15,insertion sort,219931,49997
16,insertion sort,212370,49997
17,insertion sort,220165,49997
18,insertion sort,218606,49997
19,insertion sort,216319,49997
20,insertion sort,214910,49997
21,insertion sort,215428,49997
22,insertion sort,209652,49997
23,insertion sort,219663,49997
24,insertion sort,213357,49997
25,insertion sort,212739,49997
26,insertion sort,215511,49997
27,insertion sort,217093,49997
28,insertion sort,216661,49997
29,insertion sort,214161,49997
30,insertion sort,216854,49997
31,insertion sort,213663,49997
32,insertion sort,214139,49997
33,insertion sort,213342,49997
34,insertion sort,219104,49997
35,insertion sort,212301,49997
36,insertion sort,217639,49997
37,insertion sort,215183,49997
38,insertion sort,218246,49997
39,insertion sort,215100,49997
40,insertion sort,218727,49997
41,insertion sort,216252,49997
42,insertion sort,215567,49997
43,insertion sort,216234,49997
44,insertion sort,214257,49997
45,insertion sort,214834,49997
46,insertion sort,215648,49997
47,insertion sort,215582,49997
48,insertion sort,220477,49997
49,insertion sort,216924,49997
50,insertion sort,215580,49997
51,insertion sort,217866,49997
52,insertion sort,218649,49997
53,insertion sort,215515,49997
54,insertion sort,214976,49997
55,insertion sort,220126,49997
56,insertion sort,213752,49997
57,insertion sort,215843,49997
58,insertion sort,213991,49997
59,insertion sort,214664,49997
60,insertion sort,214709,49997
61,insertion sort,218880,49997
62,insertion sort,220392,49997
63,insertion sort,214542,49997
64,insertion sort,213335,49997
65,insertion sort,213468,49997
66,insertion sort,214642,49997
67,insertion sort,216720,49997
68,insertion sort,218160,49997
69,insertion sort,216320,49997
70,insertion sort,216356,49997
71,insertion sort,212982,49997
72,insertion sort,216576,49997
73,insertion sort,219740,49997
74,insertion sort,215728,49997
75,insertion sort,217389,49997
76,insertion sort,218156,49997
77,insertion sort,218147,49997
78,insertion sort,219051,49997
79,insertion sort,220100,49997
80,insertion sort,215570,49997
81,insertion sort,215989,49997
82,insertion sort,215818,49997
83,insertion sort,220581,49997
84,insertion sort,215700,49997
85,insertion sort,216775,49997
86,insertion sort,218574,49997
87,insertion sort,215689,49997
88,insertion sort,214253,49997
89,insertion sort,217216,49997
90,insertion sort,215615,49997
91,insertion sort,216290,49997
92,insertion sort,216846,49997
93,insertion sort,219088,49997
94,insertion sort,214643,49997
95,insertion sort,216306,49997
96,insertion sort,215266,49997
97,insertion sort,218819,49997
98,insertion sort,218807,49997
99,insertion sort,214411,49997
100,insertion sort,218689,49997
101,insertion sort,214073,49997
102,insertion sort,222509,49997
103,insertion sort,216832,49997
104,insertion sort,215086,49997
105,insertion sort,218920,49997
106,insertion sort,213072,49997
107,insertion sort,216610,49997
108,insertion sort,216809,49997
109,insertion sort,220587,49997
110,insertion sort,219362,49997
111,insertion sort,215616,49997
112,insertion sort,218114,49997
113,insertion sort,216250,49997
114,insertion sort,216628,49997
115,insertion sort,215032,49997
116,insertion sort,211019,49997
117,insertion sort,218673,49997
118,insertion sort,214325,49997
119,insertion sort,214076,49997
120,insertion sort,220556,49997
121,insertion sort,216070,49997
122,insertion sort,215205,49997
123,insertion sort,214887,49997
124,insertion sort,213808,49997
125,insertion sort,213330,49997
126,insertion sort,217953,49997
127,insertion sort,216466,49997
128,insertion sort,217339,49997
129,insertion sort,214725,49997
130,insertion sort,212154,49997
131,insertion sort,214244,49997
132,insertion sort,214608,49997
133,insertion sort,215826,49997
134,insertion sort,222059,49997
135,insertion sort,216351,49997
136,insertion sort,214671,49997
137,insertion sort,213917,49997
138,insertion sort,212380,49997
139,insertion sort,215249,49997
140,insertion sort,217944,49997
141,insertion sort,215096,49997
142,insertion sort,215510,49997
143,insertion sort,215880,49997
144,insertion sort,214673,49997
145,insertion sort,215103,49997
146,insertion sort,214155,49997
147,insertion sort,215338,49997
148,insertion sort,216655,49997
149,insertion sort,216366,49997
150,insertion sort,215106,49997
151,insertion sort,215223,49997
152,insertion sort,218538,49997
