2test_id,algorithm,time,n_size
0,insertion sort,10669,49997
1,insertion sort,11739,49997
2,insertion sort,11094,49997
3,insertion sort,10708,49997
4,insertion sort,11286,49997
5,insertion sort,10772,49997
6,insertion sort,10682,49997
7,insertion sort,10693,49997
8,insertion sort,10705,49997
9,insertion sort,11698,49997
10,insertion sort,11044,49997
11,insertion sort,10641,49997
12,insertion sort,10627,49997
13,insertion sort,10656,49997
14,insertion sort,10614,49997
15,insertion sort,10604,49997
16,insertion sort,10627,49997
17,insertion sort,10621,49997
18,insertion sort,11411,49997
19,insertion sort,11013,49997
20,insertion sort,10676,49997
21,insertion sort,10753,49997
22,insertion sort,11108,49997
23,insertion sort,10932,49997
24,insertion sort,10670,49997
25,insertion sort,10599,49997
26,insertion sort,11222,49997
27,insertion sort,11332,49997
28,insertion sort,10625,49997
29,insertion sort,10652,49997
30,insertion sort,10669,49997
31,insertion sort,11241,49997
32,insertion sort,10725,49997
33,insertion sort,11379,49997
34,insertion sort,10737,49997
35,insertion sort,10797,49997
36,insertion sort,10628,49997
37,insertion sort,10849,49997
38,insertion sort,11930,49997
39,insertion sort,12462,49997
40,insertion sort,10790,49997
41,insertion sort,10653,49997
42,insertion sort,11153,49997
43,insertion sort,11128,49997
44,insertion sort,11601,49997
45,insertion sort,10914,49997
46,insertion sort,11119,49997
47,insertion sort,11146,49997
48,insertion sort,11255,49997
49,insertion sort,10633,49997
50,insertion sort,10588,49997
51,insertion sort,11443,49997
52,insertion sort,11468,49997
53,insertion sort,10688,49997
54,insertion sort,10627,49997
55,insertion sort,11497,49997
56,insertion sort,10964,49997
57,insertion sort,10866,49997
58,insertion sort,10669,49997
59,insertion sort,11086,49997
60,insertion sort,10619,49997
61,insertion sort,10669,49997
62,insertion sort,10624,49997
63,insertion sort,11033,49997
64,insertion sort,10669,49997
65,insertion sort,10992,49997
66,insertion sort,10636,49997
67,insertion sort,10785,49997
68,insertion sort,10749,49997
69,insertion sort,11601,49997
70,insertion sort,10705,49997
71,insertion sort,11291,49997
72,insertion sort,11313,49997
73,insertion sort,11407,49997
74,insertion sort,10620,49997
75,insertion sort,10970,49997
76,insertion sort,11411,49997
77,insertion sort,11194,49997
78,insertion sort,10705,49997
79,insertion sort,11057,49997
80,insertion sort,15027,49997
81,insertion sort,10687,49997
82,insertion sort,10742,49997
83,insertion sort,11661,49997
84,insertion sort,10612,49997
85,insertion sort,11328,49997
86,insertion sort,10652,49997
87,insertion sort,10771,49997
88,insertion sort,10678,49997
89,insertion sort,10941,49997
90,insertion sort,11105,49997
91,insertion sort,10732,49997
92,insertion sort,10722,49997
93,insertion sort,10729,49997
94,insertion sort,11203,49997
95,insertion sort,11412,49997
96,insertion sort,11121,49997
97,insertion sort,10651,49997
98,insertion sort,10947,49997
99,insertion sort,10647,49997
100,insertion sort,10615,49997
101,insertion sort,10648,49997
102,insertion sort,11556,49997
103,insertion sort,11454,49997
104,insertion sort,10615,49997
105,insertion sort,10605,49997
106,insertion sort,11205,49997
107,insertion sort,10848,49997
108,insertion sort,10660,49997
109,insertion sort,10601,49997
110,insertion sort,11041,49997
111,insertion sort,11760,49997
112,insertion sort,10672,49997
113,insertion sort,11062,49997
114,insertion sort,10740,49997
115,insertion sort,10675,49997
116,insertion sort,10921,49997
117,insertion sort,10680,49997
118,insertion sort,10947,49997
119,insertion sort,11701,49997
120,insertion sort,11423,49997
121,insertion sort,10894,49997
122,insertion sort,10621,49997
123,insertion sort,10977,49997
124,insertion sort,10922,49997
125,insertion sort,11146,49997
126,insertion sort,10614,49997
127,insertion sort,11411,49997
128,insertion sort,10952,49997
129,insertion sort,11410,49997
130,insertion sort,11076,49997
131,insertion sort,10623,49997
132,insertion sort,10649,49997
133,insertion sort,10659,49997
134,insertion sort,10610,49997
135,insertion sort,10652,49997
136,insertion sort,10795,49997
137,insertion sort,11676,49997
138,insertion sort,10897,49997
139,insertion sort,10717,49997
140,insertion sort,11143,49997
141,insertion sort,11234,49997
142,insertion sort,11008,49997
143,insertion sort,10718,49997
144,insertion sort,11429,49997
145,insertion sort,11500,49997
146,insertion sort,11481,49997
147,insertion sort,10625,49997
148,insertion sort,10653,49997
149,insertion sort,10593,49997
150,insertion sort,11620,49997
151,insertion sort,10840,49997
152,insertion sort,10648,49997
153,insertion sort,10970,49997
154,insertion sort,11134,49997
155,insertion sort,10621,49997
156,insertion sort,10695,49997
157,insertion sort,12586,49997
158,insertion sort,10737,49997
159,insertion sort,11262,49997
160,insertion sort,10995,49997
161,insertion sort,10798,49997
162,insertion sort,11207,49997
163,insertion sort,10769,49997
164,insertion sort,10637,49997
165,insertion sort,10719,49997
166,insertion sort,10702,49997
167,insertion sort,11116,49997
168,insertion sort,11009,49997
169,insertion sort,11075,49997
170,insertion sort,11038,49997
171,insertion sort,10631,49997
172,insertion sort,10589,49997
173,insertion sort,10710,49997
174,insertion sort,11223,49997
175,insertion sort,10719,49997
176,insertion sort,10578,49997
177,insertion sort,10685,49997
178,insertion sort,11142,49997
179,insertion sort,11393,49997
180,insertion sort,10826,49997
181,insertion sort,10665,49997
182,insertion sort,10887,49997
183,insertion sort,11321,49997
184,insertion sort,11501,49997
185,insertion sort,10614,49997
186,insertion sort,10707,49997
187,insertion sort,10621,49997
188,insertion sort,10626,49997
189,insertion sort,10614,49997
190,insertion sort,10692,49997
191,insertion sort,10876,49997
192,insertion sort,10978,49997
193,insertion sort,10688,49997
194,insertion sort,11727,49997
195,insertion sort,10672,49997
196,insertion sort,11261,49997
197,insertion sort,10676,49997
198,insertion sort,10737,49997
199,insertion sort,11740,49997
200,insertion sort,10919,49997
201,insertion sort,10681,49997
202,insertion sort,10862,49997
203,insertion sort,11317,49997
204,insertion sort,11589,49997
205,insertion sort,11483,49997
206,insertion sort,10604,49997
207,insertion sort,10899,49997
208,insertion sort,10648,49997
209,insertion sort,10851,49997
210,insertion sort,10665,49997
211,insertion sort,10631,49997
212,insertion sort,11062,49997
213,insertion sort,10955,49997
214,insertion sort,10853,49997
215,insertion sort,10772,49997
216,insertion sort,11168,49997
217,insertion sort,11009,49997
218,insertion sort,10832,49997
219,insertion sort,10689,49997
220,insertion sort,11383,49997
221,insertion sort,10692,49997
222,insertion sort,10729,49997
223,insertion sort,10739,49997
224,insertion sort,11489,49997
225,insertion sort,11529,49997
226,insertion sort,10806,49997
227,insertion sort,10679,49997
228,insertion sort,10609,49997
229,insertion sort,10951,49997
230,insertion sort,11047,49997
231,insertion sort,11725,49997
232,insertion sort,10980,49997
233,insertion sort,11067,49997
234,insertion sort,11671,49997
235,insertion sort,11479,49997
236,insertion sort,10650,49997
237,insertion sort,10727,49997
238,insertion sort,11333,49997
239,insertion sort,11715,49997
240,insertion sort,11504,49997
241,insertion sort,11057,49997
242,insertion sort,10974,49997
243,insertion sort,10863,49997
244,insertion sort,10643,49997
245,insertion sort,10698,49997
246,insertion sort,10710,49997
247,insertion sort,11455,49997
248,insertion sort,11382,49997
249,insertion sort,11025,49997
250,insertion sort,10688,49997
251,insertion sort,11037,49997
252,insertion sort,10625,49997
253,insertion sort,10647,49997
254,insertion sort,10609,49997
255,insertion sort,10677,49997
256,insertion sort,11095,49997
257,insertion sort,10827,49997
258,insertion sort,10809,49997
259,insertion sort,10854,49997
260,insertion sort,11314,49997
261,insertion sort,10890,49997
262,insertion sort,10598,49997
