2test_id,algorithm,time,n_size
0,insertion sort,8310935,49997
1,insertion sort,8334583,49997
2,insertion sort,8257041,49997
3,insertion sort,8267233,49997
4,insertion sort,8263633,49997
5,insertion sort,8278177,49997
6,insertion sort,8275359,49997
7,insertion sort,8242976,49997
8,insertion sort,8245379,49997
9,insertion sort,8240536,49997
10,insertion sort,8222434,49997
11,insertion sort,8232766,49997
12,insertion sort,8288417,49997
13,insertion sort,8606344,49997
14,insertion sort,8475456,49997
15,insertion sort,8411825,49997
16,insertion sort,8431120,49997
17,insertion sort,8416139,49997
18,insertion sort,8393110,49997
19,insertion sort,8520981,49997
20,insertion sort,8338517,49997
21,insertion sort,8311712,49997
22,insertion sort,8388242,49997
23,insertion sort,8409900,49997
24,insertion sort,8418639,49997
25,insertion sort,8351759,49997
26,insertion sort,8408022,49997
27,insertion sort,8612637,49997
28,insertion sort,8443027,49997
29,insertion sort,8576512,49997
30,insertion sort,8426212,49997
31,insertion sort,8855486,49997
32,insertion sort,8670210,49997
33,insertion sort,8398725,49997
34,insertion sort,8457362,49997
35,insertion sort,8336302,49997
36,insertion sort,8321936,49997
37,insertion sort,8344443,49997
38,insertion sort,8657480,49997
39,insertion sort,8700690,49997
40,insertion sort,8409016,49997
41,insertion sort,8359955,49997
42,insertion sort,8455714,49997
43,insertion sort,8423640,49997
44,insertion sort,8436862,49997
45,insertion sort,8456020,49997
46,insertion sort,8471044,49997
47,insertion sort,8447776,49997
48,insertion sort,8510322,49997
49,insertion sort,8676744,49997
50,insertion sort,8504232,49997
51,insertion sort,8541440,49997
52,insertion sort,8481496,49997
53,insertion sort,8681855,49997
54,insertion sort,8784776,49997
55,insertion sort,8366628,49997
56,insertion sort,8330749,49997
57,insertion sort,8409627,49997
58,insertion sort,8363099,49997
59,insertion sort,8301390,49997
60,insertion sort,8384059,49997
61,insertion sort,8344043,49997
62,insertion sort,8417939,49997
63,insertion sort,8327332,49997
64,insertion sort,8285502,49997
65,insertion sort,8576015,49997
66,insertion sort,8694845,49997
67,insertion sort,8776867,49997
68,insertion sort,9322205,49997
69,insertion sort,8383826,49997
70,insertion sort,8449581,49997
71,insertion sort,8444404,49997
72,insertion sort,8692753,49997
73,insertion sort,8465934,49997
74,insertion sort,8356765,49997
75,insertion sort,8449229,49997
76,insertion sort,8376333,49997
