2test_id,algorithm,time,n_size
0,insertion sort,4,20
1,insertion sort,4,20
2,insertion sort,4,20
3,insertion sort,3,20
4,insertion sort,4,20
5,insertion sort,2,20
6,insertion sort,1,20
7,insertion sort,1,20
8,insertion sort,1,20
9,insertion sort,2,20
10,insertion sort,2,20
11,insertion sort,3,20
12,insertion sort,1,20
13,insertion sort,4,20
14,insertion sort,3,20
15,insertion sort,2,20
16,insertion sort,3,20
17,insertion sort,2,20
18,insertion sort,2,20
19,insertion sort,1,20
20,insertion sort,2,20
21,insertion sort,1,20
22,insertion sort,2,20
23,insertion sort,1,20
24,insertion sort,2,20
25,insertion sort,1,20
26,insertion sort,1,20
27,insertion sort,1,20
28,insertion sort,1,20
29,insertion sort,1,20
30,insertion sort,1,20
31,insertion sort,1,20
32,insertion sort,1,20
33,insertion sort,1,20
34,insertion sort,2,20
35,insertion sort,1,20
36,insertion sort,1,20
37,insertion sort,1,20
38,insertion sort,1,20
39,insertion sort,1,20
40,insertion sort,1,20
41,insertion sort,1,20
42,insertion sort,1,20
43,insertion sort,1,20
44,insertion sort,2,20
45,insertion sort,2,20
46,insertion sort,1,20
47,insertion sort,1,20
48,insertion sort,1,20
49,insertion sort,1,20
50,insertion sort,1,20
51,insertion sort,1,20
52,insertion sort,1,20
53,insertion sort,1,20
54,insertion sort,1,20
55,insertion sort,1,20
56,insertion sort,1,20
57,insertion sort,1,20
58,insertion sort,1,20
59,insertion sort,3,20
60,insertion sort,2,20
61,insertion sort,1,20
62,insertion sort,4,20
63,insertion sort,2,20
64,insertion sort,2,20
65,insertion sort,3,20
66,insertion sort,2,20
67,insertion sort,2,20
68,insertion sort,1,20
69,insertion sort,1,20
70,insertion sort,4,20
71,insertion sort,3,20
72,insertion sort,2,20
73,insertion sort,1,20
74,insertion sort,1,20
75,insertion sort,4,20
76,insertion sort,2,20
77,insertion sort,2,20
78,insertion sort,3,20
79,insertion sort,2,20
80,insertion sort,3,20
81,insertion sort,2,20
82,insertion sort,3,20
83,insertion sort,2,20
84,insertion sort,1,20
85,insertion sort,1,20
86,insertion sort,2,20
87,insertion sort,1,20
88,insertion sort,1,20
89,insertion sort,1,20
90,insertion sort,1,20
91,insertion sort,1,20
92,insertion sort,1,20
93,insertion sort,1,20
94,insertion sort,1,20
95,insertion sort,1,20
96,insertion sort,1,20
97,insertion sort,1,20
98,insertion sort,1,20
99,insertion sort,1,20
100,insertion sort,1,20
101,insertion sort,1,20
102,insertion sort,2,20
103,insertion sort,1,20
104,insertion sort,1,20
105,insertion sort,2,20
106,insertion sort,1,20
107,insertion sort,1,20
108,insertion sort,1,20
109,insertion sort,1,20
110,insertion sort,1,20
111,insertion sort,1,20
112,insertion sort,1,20
113,insertion sort,1,20
114,insertion sort,2,20
115,insertion sort,2,20
116,insertion sort,2,20
117,insertion sort,2,20
118,insertion sort,2,20
119,insertion sort,4,20
120,insertion sort,3,20
121,insertion sort,2,20
122,insertion sort,1,20
123,insertion sort,1,20
124,insertion sort,2,20
125,insertion sort,2,20
126,insertion sort,2,20
127,insertion sort,2,20
128,insertion sort,1,20
129,insertion sort,1,20
130,insertion sort,1,20
131,insertion sort,1,20
132,insertion sort,1,20
133,insertion sort,1,20
134,insertion sort,1,20
135,insertion sort,1,20
136,insertion sort,1,20
137,insertion sort,1,20
138,insertion sort,1,20
139,insertion sort,1,20
140,insertion sort,1,20
141,insertion sort,1,20
142,insertion sort,1,20
143,insertion sort,1,20
144,insertion sort,1,20
145,insertion sort,1,20
146,insertion sort,1,20
147,insertion sort,1,20
148,insertion sort,1,20
149,insertion sort,1,20
150,insertion sort,1,20
151,insertion sort,1,20
152,insertion sort,1,20
153,insertion sort,1,20
154,insertion sort,1,20
155,insertion sort,1,20
156,insertion sort,1,20
157,insertion sort,1,20
158,insertion sort,1,20
159,insertion sort,1,20
160,insertion sort,1,20
161,insertion sort,1,20
162,insertion sort,1,20
163,insertion sort,1,20
164,insertion sort,1,20
165,insertion sort,1,20
166,insertion sort,1,20
167,insertion sort,3,20
168,insertion sort,3,20
169,insertion sort,3,20
170,insertion sort,1,20
171,insertion sort,2,20
172,insertion sort,1,20
173,insertion sort,2,20
174,insertion sort,1,20
175,insertion sort,1,20
176,insertion sort,1,20
177,insertion sort,1,20
178,insertion sort,1,20
179,insertion sort,1,20
180,insertion sort,1,20
181,insertion sort,1,20
182,insertion sort,1,20
183,insertion sort,1,20
184,insertion sort,1,20
185,insertion sort,1,20
186,insertion sort,1,20
187,insertion sort,1,20
188,insertion sort,1,20
189,insertion sort,1,20
190,insertion sort,1,20
191,insertion sort,1,20
192,insertion sort,1,20
193,insertion sort,1,20
194,insertion sort,1,20
195,insertion sort,1,20
196,insertion sort,1,20
197,insertion sort,1,20
198,insertion sort,1,20
199,insertion sort,1,20
200,insertion sort,1,20
201,insertion sort,1,20
202,insertion sort,1,20
203,insertion sort,1,20
204,insertion sort,1,20
205,insertion sort,1,20
206,insertion sort,1,20
207,insertion sort,1,20
208,insertion sort,1,20
209,insertion sort,1,20
210,insertion sort,1,20
211,insertion sort,1,20
212,insertion sort,1,20
213,insertion sort,1,20
214,insertion sort,1,20
215,insertion sort,1,20
216,insertion sort,1,20
217,insertion sort,1,20
218,insertion sort,1,20
219,insertion sort,3,20
220,insertion sort,5,20
221,insertion sort,5,20
222,insertion sort,5,20
223,insertion sort,3,20
